<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Latvian,Lithuanian
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,3.05@@3.05,2274067232.0,248044.0,8192.0,✓,✗,2.95@@2.95,3.14@@3.14
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,3.07@@3.07,7298011136.0,100278.0,65536.0,✓,✗,3.17@@3.17,2.97@@2.97
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,3.07@@3.07,7241748480.0,32002.0,32768.0,✗,✗,3.12@@3.12,3.02@@3.02
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,3.09@@3.09,7298011136.0,100278.0,65536.0,✗,✗,3.33@@3.33,2.85@@2.85
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,3.12@@3.12,3075098624.0,128256.0,65536.0,✓,✗,3.17@@3.17,3.08@@3.08
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,3.12@@3.12,3212749824.0,128256.0,131072.0,✓,✗,3.10@@3.10,3.14@@3.14
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,3.14@@3.14,26123974400.0,200192.0,131072.0,✗,✗,3.19@@3.19,3.09@@3.09
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,3.14@@3.14,7298011136.0,100278.0,65536.0,✗,✗,3.32@@3.32,2.95@@2.95
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,3.14@@3.14,7298011136.0,100278.0,65536.0,✗,✗,3.35@@3.35,2.92@@2.92
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.24@@3.24,7298011136.0,100278.0,65536.0,✗,✗,3.37@@3.37,3.11@@3.11
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,3.28@@3.28,2614341888.0,256000.0,8192.0,✗,✗,3.55@@3.55,3.00@@3.00
<a href='https://hf.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,3.28@@3.28,117654272.0,250037.0,512.0,✓,✗,3.15@@3.15,3.41@@3.41
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,3.30@@3.30,3606752256.0,128256.0,131072.0,✓,✗,3.43@@3.43,3.17@@3.17
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,3.30@@3.30,1543714304.0,151936.0,32768.0,✓,✗,3.26@@3.26,3.35@@3.35
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,3.43@@3.43,4221757440.0,120818.0,262144.0,✓,✗,3.60@@3.60,3.26@@3.26
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base</a>,📝,3.43@@3.43,26123974400.0,200192.0,131072.0,✗,✗,3.60@@3.60,3.27@@3.27
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,3.46@@3.46,6120003328.0,200192.0,131072.0,✓,✗,3.42@@3.42,3.49@@3.49
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.47@@3.47,999885952.0,262144.0,32768.0,✓,✗,3.59@@3.59,3.34@@3.34
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.48@@3.48,7768117248.0,256000.0,8192.0,✓,✗,3.42@@3.42,3.54@@3.54
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.50@@3.50,7768117248.0,256000.0,8192.0,✓,✗,3.52@@3.52,3.48@@3.48
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,3.51@@3.51,7241732096.0,32000.0,32768.0,✓,✗,3.54@@3.54,3.48@@3.48
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,3.53@@3.53,873436192.0,248044.0,8192.0,✓,✗,3.46@@3.46,3.59@@3.59
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,3.56@@3.56,14659507200.0,100352.0,32768.0,✓,✗,3.51@@3.51,3.62@@3.62
<a href='https://hf.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,3.56@@3.56,108867577.0,84985.0,512.0,✓,✗,3.53@@3.53,3.60@@3.60
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.58@@3.58,999885952.0,262144.0,32768.0,✓,✗,3.63@@3.63,3.53@@3.53
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,3.58@@3.58,7799574528.0,100096.0,4096.0,✓,✗,3.52@@3.52,3.64@@3.64
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,3.60@@3.60,755625600.0,128256.0,8192.0,✓,✗,3.53@@3.53,3.67@@3.67
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,3.60@@3.60,4619184640.0,128004.0,65536.0,✓,✗,3.58@@3.58,3.63@@3.63
<a href='https://hf.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,3.62@@3.62,395881664.0,50368.0,8192.0,✓,✗,3.67@@3.67,3.56@@3.56
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct</a>,🤔,3.63@@3.63,7504568320.0,128167.0,32768.0,✓,✗,3.81@@3.81,3.45@@3.45
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,3.63@@3.63,1596507648.0,32000.0,8192.0,✓,✗,3.54@@3.54,3.72@@3.72
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,3.63@@3.63,310266624.0,128256.0,8192.0,✓,✗,3.56@@3.56,3.69@@3.69
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B</a>,📝,3.64@@3.64,4619189760.0,128005.0,65536.0,✓,✗,3.55@@3.55,3.74@@3.74
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,3.65@@3.65,7504568320.0,128167.0,32768.0,✓,✗,3.85@@3.85,3.44@@3.44
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,3.66@@3.66,395881664.0,50368.0,8192.0,✓,✗,3.64@@3.64,3.68@@3.68
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base</a>,📝,3.67@@3.67,6120003328.0,200192.0,131072.0,✓,✗,3.73@@3.73,3.62@@3.62
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,3.67@@3.67,2569272320.0,65536.0,128000.0,✗,✗,3.65@@3.65,3.69@@3.69
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.70@@3.70,751632384.0,151936.0,40960.0,✓,✗,3.83@@3.83,3.58@@3.58
<a href='https://hf.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,3.71@@3.71,149655232.0,50368.0,8192.0,✓,✗,3.70@@3.70,3.73@@3.73
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,3.76@@3.76,93990500.0,65636.0,512.0,✓,✗,3.76@@3.76,3.75@@3.75
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.81@@3.81,2611528704.0,128000.0,4096.0,✓,✗,3.97@@3.97,3.65@@3.65
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.84@@3.84,2611528704.0,128000.0,4096.0,✓,✗,3.87@@3.87,3.82@@3.82
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.87@@3.87,2424375168.0,99000.0,28723.0,✗,✗,3.95@@3.95,3.79@@3.79
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.88@@3.88,1195468800.0,65536.0,2048.0,✓,✗,4.03@@4.03,3.73@@3.73
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,3.91@@3.91,3211926528.0,65536.0,4096.0,✓,✗,3.94@@3.94,3.89@@3.89
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.98@@3.98,1235814400.0,128256.0,131072.0,✓,✗,4.02@@4.02,3.94@@3.94
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,4.09@@4.09,?,103424.0,131072.0,✓,✗,4.14@@4.14,4.05@@4.05
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.14@@4.14,353424384.0,65536.0,2048.0,✓,✗,4.15@@4.15,4.13@@4.13
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,4.18@@4.18,268098176.0,262144.0,32768.0,✓,✗,4.11@@4.11,4.24@@4.24
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,4.19@@4.19,742489344.0,65536.0,128000.0,✗,✗,4.18@@4.18,4.20@@4.20
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,4.19@@4.19,1170340608.0,65536.0,128000.0,✗,✗,4.20@@4.20,4.19@@4.19
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,4.21@@4.21,1235814400.0,128256.0,131072.0,✓,✗,4.29@@4.29,4.13@@4.13
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,4.22@@4.22,1170340608.0,65536.0,128000.0,✗,✗,4.21@@4.21,4.23@@4.23
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,4.24@@4.24,1170340608.0,65536.0,128000.0,✗,✗,4.29@@4.29,4.18@@4.18
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.24@@4.24,268098176.0,262144.0,32768.0,✓,✗,4.25@@4.25,4.24@@4.24
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.30@@4.30,361821120.0,49152.0,8192.0,✓,✗,4.31@@4.31,4.29@@4.29
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.30@@4.30,361821120.0,49152.0,8192.0,✓,✗,4.26@@4.26,4.34@@4.34
fresh-electra-small,🔍,4.34@@4.34,13738755.0,32000.0,128.0,✓,✗,4.37@@4.37,4.32@@4.32
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.34@@4.34,134515008.0,49152.0,8192.0,✓,✗,4.37@@4.37,4.30@@4.30
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.35@@4.35,134515008.0,49152.0,8192.0,✓,✗,4.31@@4.31,4.38@@4.38
fresh-xlm-roberta-base,🔍,4.36@@4.36,278885778.0,250002.0,512.0,✓,✗,4.41@@4.41,4.31@@4.31
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,4.37@@4.37,354483968.0,65536.0,128000.0,✗,✗,4.38@@4.38,4.36@@4.36
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.38@@4.38,107908288.0,65536.0,262144.0,✓,✗,4.44@@4.44,4.31@@4.31
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.40@@4.40,107908288.0,65536.0,262144.0,✓,✗,4.44@@4.44,4.35@@4.35
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Thinking'>LiquidAI/LFM2.5-1.2B-Thinking</a>,🤔,4.52@@4.52,1170340608.0,65536.0,128000.0,✗,✗,4.52@@4.52,4.51@@4.51
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.52@@4.52,320956992.0,65536.0,4096.0,✓,✗,4.48@@4.48,4.56@@4.56
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,4.57@@4.57,56656128.0,8192.0,2048.0,✓,✗,4.51@@4.51,4.62@@4.62
<a href='https://hf.co/inclusionAI/Ling-mini-base-2.0'>inclusionAI/Ling-mini-base-2.0 (val)</a>,📝,4.59@@4.59,17083499776.0,157184.0,32768.0,✓,✗,4.54@@4.54,4.63@@4.63
<a href='https://hf.co/inclusionAI/Ling-mini-2.0'>inclusionAI/Ling-mini-2.0 (val)</a>,📝,4.60@@4.60,16255638528.0,157184.0,32768.0,✓,✗,4.54@@4.54,4.65@@4.65
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,-@@100,3075098624.0,128256.0,65536.0,✓,✗,3.47@@3.47,-@@100
<a href='https://hf.co/EMBEDDIA/litlat-bert'>EMBEDDIA/litlat-bert</a>,🔍,-@@100,150124809.0,84201.0,514.0,✓,✗,3.00@@3.00,-@@100
<a href='https://hf.co/AiLab-IMCS-UL/lvbert'>AiLab-IMCS-UL/lvbert</a>,🔍,-@@100,110620928.0,32004.0,512.0,✓,✗,2.61@@2.61,-@@100
<a href='https://hf.co/tencent/Hunyuan-1.8B-Instruct'>tencent/Hunyuan-1.8B-Instruct</a>,🤔,-@@100,1791080448.0,120818.0,262144.0,✓,✗,4.15@@4.15,-@@100
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B</a>,🤔,-@@100,751632384.0,151936.0,40960.0,✓,✗,3.65@@3.65,-@@100
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,-@@100,30532122624.0,151936.0,40960.0,✓,✗,1.93@@1.93,-@@100
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,-@@100,14768307200.0,151936.0,40960.0,✓,✗,1.98@@1.98,-@@100
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,-@@100,2023868416.0,64000.0,4096.0,✓,✗,3.68@@3.68,-@@100
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct</a>,📝,-@@100,1720574976.0,151936.0,40960.0,✗,✗,-@@100,-@@100
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,-@@100,24011361280.0,131072.0,8192.0,✓,✗,1.82@@1.82,-@@100
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,-@@100,110468824832.0,151552.0,131072.0,✓,✗,2.29@@2.29,-@@100
<a href='https://hf.co/facebook/MobileLLM-R1-950M'>facebook/MobileLLM-R1-950M</a>,📝,-@@100,949685760.0,128256.0,32768.0,✗,✗,4.50@@4.50,-@@100
<a href='https://hf.co/facebook/MobileLLM-R1-950M-base'>facebook/MobileLLM-R1-950M-base</a>,🧠,-@@100,949685760.0,128256.0,4096.0,✗,✗,4.06@@4.06,-@@100
<a href='https://hf.co/facebook/MobileLLM-R1-360M'>facebook/MobileLLM-R1-360M</a>,📝,-@@100,359431168.0,128256.0,32768.0,✗,✗,4.52@@4.52,-@@100
<a href='https://hf.co/facebook/MobileLLM-R1-360M-base'>facebook/MobileLLM-R1-360M-base</a>,🧠,-@@100,359431168.0,128256.0,4096.0,✗,✗,4.38@@4.38,-@@100
<a href='https://hf.co/facebook/MobileLLM-R1-140M'>facebook/MobileLLM-R1-140M</a>,🤔,-@@100,140248512.0,128256.0,32768.0,✗,✗,4.57@@4.57,-@@100
<a href='https://hf.co/facebook/MobileLLM-R1-140M-base'>facebook/MobileLLM-R1-140M-base</a>,🧠,-@@100,140248512.0,128256.0,4096.0,✗,✗,4.38@@4.38,-@@100
<a href='https://hf.co/mistralai/Voxtral-Mini-3B-2507'>mistralai/Voxtral-Mini-3B-2507</a>,📝,-@@100,4676271104.0,131072.0,8192.0,✓,✗,2.87@@2.87,-@@100
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-20250514#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,?,✓,✗,2.04@@2.04,-@@100
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B</a>,🤔,-@@100,2031739904.0,151936.0,40960.0,✓,✗,2.89@@2.89,-@@100
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,200000.0,✓,✗,1.88@@1.88,-@@100
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2#no-thinking</a>,📝,-@@100,8888227328.0,131072.0,131072.0,✓,✗,3.94@@3.94,-@@100
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,-@@100,8888227328.0,131072.0,131072.0,✓,✗,2.84@@2.84,-@@100
<a href='https://hf.co/TildeAI/TildeOpen-30b'>TildeAI/TildeOpen-30b#slow-tokenizer</a>,🧠,-@@100,30677882880.0,131072.0,65536.0,✓,✗,3.17@@3.17,-@@100
<a href='https://hf.co/Shekswess/trlm-135m'>Shekswess/trlm-135m</a>,📝,-@@100,134516160.0,49154.0,8192.0,✓,✗,4.49@@4.49,-@@100
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,-@@100,81324862720.0,151936.0,262144.0,✓,✗,2.14@@2.14,-@@100
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,-@@100,81324862720.0,151936.0,262144.0,✓,✗,1.83@@1.83,-@@100
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,-@@100,8190735360.0,151936.0,40960.0,✓,✗,2.67@@2.67,-@@100
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,🤔,-@@100,4022468096.0,151936.0,40960.0,✓,✗,2.31@@2.31,-@@100
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,-@@100,4022468096.0,151936.0,262144.0,✓,✗,2.35@@2.35,-@@100
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,-@@100,30532122624.0,151936.0,40960.0,✓,✗,1.74@@1.74,-@@100
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,-@@100,235107904512.0,151936.0,262144.0,✓,✗,1.67@@1.67,-@@100
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,-@@100,235107904512.0,151936.0,262144.0,✓,✗,1.64@@1.64,-@@100
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,-@@100,?,?,200000.0,✓,✗,2.29@@2.29,-@@100
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,-@@100,110468824832.0,151552.0,131072.0,✓,✗,2.06@@2.06,-@@100
